threshold,precision,recall,f1,predicted_positive_count,alert_rate
0.1,0.2939914163090129,0.9319727891156463,0.4469820554649266,466,0.5177777777777778
0.15,0.3162162162162162,0.7959183673469388,0.4526112185686654,370,0.4111111111111111
0.2,0.34057971014492755,0.6394557823129252,0.4444444444444444,276,0.30666666666666664
0.25,0.390625,0.5102040816326531,0.4424778761061947,192,0.21333333333333335
0.3,0.44715447154471544,0.3741496598639456,0.4074074074074074,123,0.13666666666666666
0.35,0.49411764705882355,0.2857142857142857,0.3620689655172414,85,0.09444444444444444
0.4,0.5333333333333333,0.21768707482993196,0.30917874396135264,60,0.06666666666666667
0.45,0.5686274509803921,0.19727891156462585,0.29292929292929293,51,0.056666666666666664
0.5,0.6,0.16326530612244897,0.25668449197860965,40,0.044444444444444446
0.55,0.6774193548387096,0.14285714285714285,0.23595505617977527,31,0.034444444444444444
0.6,0.75,0.10204081632653061,0.17964071856287425,20,0.022222222222222223
0.65,0.7857142857142857,0.07482993197278912,0.13664596273291926,14,0.015555555555555555
0.7,0.7777777777777778,0.047619047619047616,0.08974358974358974,9,0.01
0.75,0.8333333333333334,0.034013605442176874,0.06535947712418301,6,0.006666666666666667
0.8,1.0,0.006802721088435374,0.013513513513513514,1,0.0011111111111111111
0.85,1.0,0.006802721088435374,0.013513513513513514,1,0.0011111111111111111
0.9,0.0,0.0,0.0,0,0.0
